,Flow_gpm,Level_in
5/1/2020 0:00,0,-7.73
5/1/2020 0:05,0,-7.73
5/1/2020 0:10,0,-7.73
5/1/2020 0:15,0,-7.73
5/1/2020 0:20,0,-7.73
5/1/2020 0:25,0,-7.69
5/1/2020 0:30,0,-7.73
5/1/2020 0:35,0,-7.69
5/1/2020 0:40,0,-7.73
5/1/2020 0:45,0,-7.73
5/1/2020 0:50,0,-7.69
5/1/2020 0:55,0,-7.69
5/1/2020 1:00,0,-7.73
5/1/2020 1:05,0,-7.69
5/1/2020 1:10,0,-7.69
5/1/2020 1:15,0,-7.69
5/1/2020 1:20,0,-7.69
5/1/2020 1:25,0,-7.69
5/1/2020 1:30,0,-7.73
5/1/2020 1:35,0,-7.65
5/1/2020 1:40,0,-7.69
5/1/2020 1:45,0,-7.69
5/1/2020 1:50,0,-7.73
5/1/2020 1:55,0,-7.73
5/1/2020 2:00,0,-7.73
5/1/2020 2:05,0,-7.73
5/1/2020 2:10,0,-7.69
5/1/2020 2:15,0,-7.73
5/1/2020 2:20,0,-7.69
5/1/2020 2:25,0,-7.69
5/1/2020 2:30,0,-7.69
5/1/2020 2:35,0,-7.69
5/1/2020 2:40,0,-7.73
5/1/2020 2:45,0,-7.69
5/1/2020 2:50,0,-7.69
5/1/2020 2:55,0,-7.65
5/1/2020 3:00,0,-7.69
5/1/2020 3:05,0,-7.65
5/1/2020 3:10,0,-7.65
5/1/2020 3:15,0,-7.69
5/1/2020 3:20,0,-7.69
5/1/2020 3:25,0,-7.69
5/1/2020 3:30,0,-7.65
5/1/2020 3:35,0,-7.65
5/1/2020 3:40,0,-7.61
5/1/2020 3:45,0,-7.61
5/1/2020 3:50,0,-7.65
5/1/2020 3:55,0,-7.61
5/1/2020 4:00,0,-7.65
5/1/2020 4:05,0,-7.61
5/1/2020 4:10,0,-7.61
5/1/2020 4:15,0,-7.65
5/1/2020 4:20,0,-7.65
5/1/2020 4:25,0,-7.61
5/1/2020 4:30,0,-7.65
5/1/2020 4:35,0,-7.61
5/1/2020 4:40,0,-7.61
5/1/2020 4:45,0,-7.65
5/1/2020 4:50,0,-7.57
5/1/2020 4:55,0,-7.69
5/1/2020 5:00,0,-7.65
5/1/2020 5:05,0,-7.69
5/1/2020 5:10,0,-7.65
5/1/2020 5:15,0,-7.65
5/1/2020 5:20,0,-7.65
5/1/2020 5:25,0,-7.65
5/1/2020 5:30,0,-7.61
5/1/2020 5:35,0,-7.65
5/1/2020 5:40,0,-7.61
5/1/2020 5:45,0,-7.65
5/1/2020 5:50,0,-7.61
5/1/2020 5:55,0,-7.61
5/1/2020 6:00,0,-7.61
5/1/2020 6:05,0,-7.61
5/1/2020 6:10,0,-7.57
5/1/2020 6:15,0,-7.57
5/1/2020 6:20,0,-7.57
5/1/2020 6:25,0,-7.57
5/1/2020 6:30,0,-7.61
5/1/2020 6:35,0,-7.54
5/1/2020 6:40,0,-7.61
5/1/2020 6:45,0,-7.61
5/1/2020 6:50,0,-7.65
5/1/2020 6:55,0,-7.61
5/1/2020 7:00,0,-7.61
5/1/2020 7:05,0,-7.54
5/1/2020 7:10,0,-7.54
5/1/2020 7:15,0,-7.5
5/1/2020 7:20,0,-7.5
