,Timestamp,Site ID,Date and Time,Flow Condition,NOTES,Site Photo or Video?,Height above (+) or below (-) v-notch in cm,"Flow Measurement, Time in Seconds ","Flow Measurement, Volume in mL"
50,2020-05-11 20:23:02,SDR-203A,2020-05-08 10:55:00,Flowing,SDR-203A and 204A were mixed up. switched them back to the right way at 10:30,,1.5,60.0,2300
51,2020-05-11 20:23:02,SDR-203A,2020-05-08 10:55:00,Flowing,,,1.5,60.0,"2,220"
52,2020-05-11 20:23:02,SDR-203A,2020-05-08 10:55:00,Flowing,,,1.5,60.0,"2,150"
53,2020-05-11 20:24:21,SDR-036,2020-05-08 12:30:00,Flowing,moved camera,,2.75,10.0,2100
54,2020-05-11 20:24:21,SDR-036,2020-05-08 12:30:00,Flowing,,,2.75,10.4,"2,120"
55,2020-05-11 20:24:21,SDR-036,2020-05-08 12:30:00,Flowing,,,2.75,10.8,"2,220"
56,2020-05-11 20:25:44,SDR-127B,2020-05-08 12:55:00,Flowing,none?,,1.75,60.0,1980
57,2020-05-11 20:26:20,SDR-127B,2020-05-08 13:00:00,Flowing,none?,,1.25,60.0,1150
58,2020-05-11 20:26:54,SDR-127B,2020-05-08 13:05:00,Flowing,none,,1.25,60.0,1110
59,2020-05-11 20:27:49,SDR-127,2020-05-08 13:20:00,Flowing,none?,,1.25,60.0,1590
60,2020-05-11 20:27:49,SDR-127,2020-05-08 13:20:00,Flowing,,,1.25,60.0,"2,010"
61,2020-05-11 20:28:52,SDR-127,2020-05-08 13:30:00,Flowing,none?,,1.5,60.0,2600
62,2020-05-11 20:28:52,SDR-127,2020-05-08 13:30:00,Flowing,,,1.5,61.0,"3,230"
63,2020-05-11 20:30:28,SDR-130,2020-05-08 14:35:00,Ponded,below the v. we patched it on the downstream side. doesn't seem like it's leaking right now but maybe it was before.,,-11.43,60.0,0
64,2020-05-11 20:32:08,SDR-041,2020-05-08 14:55:00,Flowing,lots of sediment has built up in the channel,,3.8,8.2,4020
65,2020-05-11 20:32:08,SDR-041,2020-05-08 14:55:00,Flowing,,,3.8,7.0,"3,470"
66,2020-05-11 20:32:08,SDR-041,2020-05-08 14:55:00,Flowing,,,3.8,7.0,"3,350"
67,2020-05-11 20:33:31,SDR-098,2020-05-08 15:25:00,Flowing,moved the camera,,2.1,15.0,1130
68,2020-05-11 20:33:31,SDR-098,2020-05-08 15:25:00,Flowing,,,2.1,23.0,"1,670"
69,2020-05-11 20:33:31,SDR-098,2020-05-08 15:25:00,Flowing,,,2.1,30.0,"2,080"
70,2020-05-11 20:35:13,SDR-064,2020-05-08 15:55:00,Dry,dry but looks like maybe flowed earlier,,,60.0,0
71,2020-05-11 20:36:35,SDR-064A,2020-05-08 16:00:00,Leaking,appears to be slightly leaking but still ponded right at the vee,,0.0,60.0,0
72,2020-05-11 20:37:13,SDR-064B,2020-05-08 16:05:00,Leaking,appears to be leaking but is ponded at the v,,0.0,60.0,0
73,2020-05-11 20:38:15,SDR-064D,2020-05-08 16:10:00,Leaking,appears to be leaking but ponded at 0,,0.0,60.0,0
74,2020-05-11 20:39:18,SDR-064C,2020-05-08 16:15:00,Dry,no other notes,,,60.0,0
75,2020-05-12 10:34:51,SLR-045,2020-05-12 10:35:00,Ponded,Not flowing but was trickling upstram,https://drive.google.com/open?id=1BTgVWOuivytSIts0dRzPck7D-syHUr7O,0.0,60.0,0
76,2020-05-12 10:56:09,SLR-095,2020-05-12 10:55:00,Flowing,None,https://drive.google.com/open?id=1cqM7X0ULXxb7ZZgUBZAelNC-YcIb-sEP,3.9,5.1,2300
77,2020-05-12 10:59:21,SLR-095,2020-05-12 11:00:00,Flowing,2nd meas,,3.9,5.8,2440
78,2020-05-12 11:07:46,SLR-095,2020-05-12 11:10:00,Flowing,Third,,3.9,6.0,2460
79,2020-05-12 11:54:22,SDG-085G,2020-05-12 11:50:00,Flowing,Audrey’s first measurement ,,1.0,32.25,380
80,2020-05-12 12:01:23,SDG-085G,2020-05-12 12:00:00,Flowing,Jameson measure ,,1.0,18.7,270
81,2020-05-12 12:02:49,SDG-085G,2020-05-12 12:05:00,Flowing,Jameson,,1.0,23.6,320
82,2020-05-12 12:28:56,SDG-085M,2020-05-12 12:25:00,Flowing,Audrey,,3.0,16.0,3970
83,2020-05-12 12:32:40,SDG-085M,2020-05-12 12:30:00,Flowing,Audrey 2nd,,3.0,13.8,3300
84,2020-05-12 12:35:08,SDG-085M,2020-05-12 12:35:00,Flowing,Audrey 3rd meas,,3.0,12.4,3150
85,2020-05-12 12:58:00,SDG-084J,2020-05-12 12:50:00,Flowing,Audrey ,https://drive.google.com/open?id=1LeGLeryCqi3Wf_3c0YQtjbIKmEXs56BS,1.0,60.0,570
86,2020-05-12 12:59:58,SDG-084J,2020-05-12 13:00:00,Flowing,2nd,,1.0,60.0,700
87,2020-05-12 13:02:07,SDG-084J,2020-05-12 13:00:00,Flowing,Audrey 3rd,,1.0,60.0,650
